category,name,platforms,processing,offline_core,account_for_local,price_snapshot,open_source,key_strength,key_gap_or_risk,primary_source,verified_on
project,whisper_hotkey,macOS 14+ Apple Silicon,Local Parakeet or Whisper,Yes,No,Free,MIT,"Key-edge capture; ephemeral data; low-idle policy","Non-notarized; English-only; almost no social proof",https://github.com/nikhi1g/whisper_hotkey,2026-08-09
platform,Apple Dictation,macOS,On-device or Apple server depending language/settings,Conditional,No separate account,Included,No,"Built in; live insertion; multilingual","Processing location varies and must be checked in Keyboard settings",https://support.apple.com/guide/mac-help/mh40584/mac,2026-08-09
company,Superwhisper,"macOS; Windows; iPhone; iPad",Local and cloud options,Yes on Pro local models,No for offline mode,"$8.49/mo; $84.99/yr; $249.99 lifetime",No,"Polished cross-platform product; modes; vocabulary","Local models are paid; broad feature surface",https://superwhisper.com/docs/get-started/sw-pro,2026-08-09
company,Wispr Flow,"macOS; Windows; iOS; Android",Cloud,No,Yes,"Free limited; $15/user/mo monthly; annual discount",No,"Live polished text; cross-device; team administration","Requires internet; privacy/training and sync controlled by settings",https://wisprflow.ai/pricing,2026-08-09
company,Aqua Voice,"macOS; Windows; iOS",Cloud,No,Yes,"1,000 words free; Pro $8/mo; Max $24/mo",No,"Fast polished output; context; dictionary; strong public benchmark marketing","No offline mode; transcript retention depends on Privacy Mode",https://aquavoice.com/info/faq,2026-08-09
company,MacWhisper,macOS,Local transcription with optional AI services,Yes,No for local,"Free; Pro €64 once",No,"Mature multilingual transcription and export suite; system-wide dictation","Broader and more complex than a focused dictation tool",https://www.macwhisper.com/,2026-08-09
company,Spokenly,"macOS; Windows; Linux; iOS",Local plus BYO or managed cloud,Yes,No,"Unlimited local free; Pro $99.99/yr",No,"Free unlimited local Whisper/Parakeet; broad platform/language support","Hard price benchmark; hybrid modes create a more complex trust story",https://spokenly.app/pricing,2026-08-09
hybrid,VoiceInk,macOS Apple Silicon,"Local transcription/enhancement plus optional connected cloud provider",Yes,License for packaged build,"Free trial; $29/$49/$69 lifetime by device count",GPL-3.0,"Open-source awareness; vocabulary; smart replacements; modes","Established one-time offer and broader feature set",https://tryvoiceink.com/,2026-08-09
repository,Handy,"macOS; Windows; Linux",Local Whisper or Parakeet,Yes,No,Free,MIT,"29.1k-star community; extensible; cross-platform","Large compatibility surface and active reliability issue load",https://github.com/cjpais/Handy,2026-08-09
repository,OpenWhispr,"macOS; Windows; Linux",Local or cloud,Yes,No,Free,MIT,"5.3k stars; dictation plus meetings notes and agents","Broad suite is less minimal and increases product/privacy surface",https://github.com/OpenWhispr/openwhispr,2026-08-09
repository,Pindrop,macOS,Local default plus optional cloud,Yes,No,Free,MIT,"Native; notarized; streaming; many local engines; vocabulary","Transcript library and large feature surface differ from ephemeral minimalism",https://github.com/watzon/pindrop,2026-08-09
repository,MacParakeet,macOS Apple Silicon,Local speech with separate opt-in network AI,Yes,No,Free,GPL-3.0,"Notarized Parakeet-first app; dictation plus media and meeting tools","Broader product scope; not focused solely on ephemeral dictation",https://github.com/moona3k/macparakeet,2026-08-09
repository,VocaMac,macOS Apple Silicon,Local WhisperKit,Yes,No,Free,AGPL-3.0,"Notarized; native; simple push-to-talk and toggle","Model download on first use; smaller community",https://github.com/VocaHQ/vocamac,2026-08-09
