id,hypothesis,audience,experiment_or_asset,primary_metric,success_threshold,minimum_sample,guardrail,effort,status
E01,"Immediate-speech proof creates more qualified interest than generic offline copy",Technical Mac users,"A/B hero: key-edge proof vs private/local",Screener completions per 100 relevant visits,"Proof variant >=25% relative lift",200 visits,"No unqualified instant/never-loss claim",2,ready
E02,"A visible network audit increases trust",Security-minded users,"Publish repeatable network and temp-file audit beside download",Permission-to-install rate,"+15 percentage points vs architecture copy only",40 respondents,"Audit must include explicit update-check exception",3,ready
E03,"Open Anyway is the dominant activation loss",New beta testers,"Observe current install funnel step by step",Share reaching first dictation,"Gatekeeper accounts for >=30% of all failed attempts",20 attempts,"Do not pressure users past a warning they distrust",1,ready
E04,"Notarization would at least double activation",Comparable technical cohorts,"Compare present funnel with future notarized build if membership is purchased",First-dictation activation,">=2x relative activation or >=20-point absolute gain",20 attempts per condition,"Same release and instructions otherwise",5,blocked_on_business_choice
E05,"Developer workflows are the best beachhead",Developers vs writers,"Run identical 2-week pilot by segment",Week-two retained users,"Developer retention >=60% and beats writer cohort by >=15 points",8 per segment,"Do not infer from interview enthusiasm",4,ready
E06,"Faithful output is more valuable than AI cleanup for the beachhead",Retained testers,"Show literal output and optional mock cleaned output on supplied text",Chosen mode plus correction time,"Literal chosen by >=60% or 20% faster to approved text",20 users,"No private content and no silent rewrite",2,ready
E07,"Opening-word retention is a purchase/adoption driver",Current dictation users,"Ask about last real loss then show measured demo",Install intent after evidence,"At least 8 of 15 name it as top-three criterion",15 interviews,"Qualitative only; do not claim prevalence",1,ready
E08,"Default-model jargon errors dominate correction cost",Technical users,"Supplied jargon pack across four recognition choices",Correction keystrokes per 100 words,"One choice or local correction method cuts median by >=25%",20 users,"Same audio/reference; report semantic errors",4,ready
E09,"Model names confuse more than they reassure",New users,"Outcome presets vs four model names in a paper prototype",Correct default choice and decision time,"Preset version >=90% correct and 30% faster",20 users,"Keep expert details accessible",1,ready
E10,"A permission explainer reduces abandonment",New installers,"Show just-in-time purpose and privacy boundary before each permission",Permission completion,"+15 percentage points vs current instructions",30 attempts,"Never imply permission itself guarantees privacy",2,ready
E11,"An assisted first install creates week-two retention",Qualified testers,"20-minute onboarding vs self-serve",Week-two active,"Assisted >=20-point lift",20 users,"Measure support minutes and scalability",2,ready
E12,"No-account/no-subscription resonates less than measurable reliability",Relevant visitors,"Reliability hero vs price/privacy hero",Activated testers,"Reliability hero >=20% relative lift",200 visits,"Both variants use only safe claims",2,ready
E13,"Alternate triggers matter for keyboard-reduction users",Accessibility co-design cohort,"Interview plus foot-pedal/mouse/CLI concept cards",Ranked importance,"At least 5 of 8 rank alternate trigger top three",8 users,"No medical claims; accessible research format",2,ready
E14,"A one-time supported/notarized build has willingness to pay",Users after 25 successful dictations,"Real choice: free source vs $29 vs $49 supported build",Paid reservation or explicit choice,"At least 20% choose a paid option",25 users,"No preorders until fulfillment path exists",2,ready
E15,"Publishing failures builds trust rather than hurting conversion",Security/technical visitors,"Benchmark page including excluded and failed trials vs polished summary",Qualified beta conversion,"Detailed page no worse than -10% conversion and higher trust score",100 visits,"Never hide safety failures",2,ready
E16,"Cross-app reliability matters more than live preview",Daily dictation users,"Rank observed wrong-target/stuck failures against streaming concept",Forced-choice priority,"Reliability selected by >=65%",20 users,"Ask after real task failures",1,ready
